Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
39,AdjacencyList,10,11,0.5000,0.2444,2309194015,V9,504,1482,957.1111,0,false,0.0300
40,AdjacencyList,10,10,0.5000,0.2222,669373780,V9,9,1000,342.6667,0,false,0.0348
41,AdjacencyList,10,10,0.5000,0.2222,3324500241,V9,158,581,343.4444,0,false,0.0343
42,AdjacencyList,10,10,0.5000,0.2222,1684669506,V9,46,983,625.1111,0,false,0.0461
43,AdjacencyList,10,11,0.5000,0.2444,44851871,V9,33,989,379.6667,0,false,0.0365
44,AdjacencyList,10,10,0.5000,0.2222,2699980932,V9,590,1993,1354.2222,0,false,0.0390
45,AdjacencyList,10,11,0.5000,0.2444,1060130597,V9,80,1032,505.1111,0,false,0.0419
46,AdjacencyList,10,10,0.5000,0.2222,3715377958,V9,420,1170,876.8889,0,false,0.0350
47,AdjacencyList,10,11,0.5000,0.2444,2075948723,V9,541,1003,713.6667,0,false,0.0381
48,AdjacencyList,10,11,0.5000,0.2444,436217288,V9,23,1158,506.3333,0,false,0.0295
49,AdjacencyList,10,12,0.5000,0.2667,3091336849,V9,463,995,761.4444,0,false,0.0451
50,AdjacencyList,10,10,0.5000,0.2222,1451544014,V9,216,1065,497.6667,0,false,0.0342
51,AdjacencyList,10,10,0.5000,0.2222,4106631575,V9,314,1046,618.2222,0,false,0.0391
52,AdjacencyList,10,9,0.5000,0.2000,2466786340,V9,97,626,421.4444,0,false,0.0318
53,AdjacencyList,10,16,0.5000,0.3556,826906105,V9,197,796,500.8889,0,false,0.0489
54,AdjacencyList,10,13,0.5000,0.2889,3482023666,V9,190,662,426.8889,0,false,0.0387
55,AdjacencyList,10,12,0.5000,0.2667,1842215431,V9,40,736,325.4444,0,false,0.0419
56,AdjacencyList,10,10,0.5000,0.2222,202891996,V9,250,920,639.2222,0,false,0.0347
57,AdjacencyList,10,12,0.5000,0.2667,2858046657,V9,293,1327,602.6667,0,false,0.0445
58,AdjacencyList,10,10,0.5000,0.2222,1218239722,V9,35,674,211.1111,0,false,0.0396
59,AdjacencyList,10,9,0.5000,0.2000,3873353583,V9,175,974,411.2500,1,false,0.0371
60,AdjacencyList,10,8,0.5000,0.1778,2233470348,V9,331,1217,701.5556,0,false,0.0266
61,AdjacencyList,10,9,0.5000,0.2000,593570813,V9,263,1657,775.8889,0,false,0.0309
62,AdjacencyList,10,9,0.5000,0.2000,3248672674,V9,282,1001,626.5556,0,false,0.0321
63,AdjacencyList,10,12,0.5000,0.2667,1608787139,V9,514,881,736.2222,0,false,0.0435
64,AdjacencyList,10,13,0.5000,0.2889,4263901900,V9,65,615,393.1111,0,false,0.0411
